
# File: Confusable.txt
# Version: 1.4
# License: MIT
# Copyright: (c) 2023 Michel Mariani

# Group: 丨・亅
U+9D4A U+9D86
U+20A58 U+20A6C
U+2149C U+2378B	≈
U+215B3 U+2BBD3
U+22219 U+5EB2
U+231CD U+2AC2A
U+23B76 U+23B89
U+23DDA U+2DC41
U+24975 U+741C
U+257B5 U+4158
U+26A40 U+26A51
U+27D98 U+8CDA
U+27EF5 U+27F1B
U+28042 U+28090
U+2883F U+2B479
U+29B4C U+29B77
U+29DDF U+9BE0
U+2B00B U+25692
U+2DE4E U+24983
U+30252 U+20EEE
U+28ECA U+3102C

# Group: 可・司
U+53EF U+53F8
U+59B8 U+36B8
U+37B9 U+37C3
U+80E2 U+43E4
U+9160 U+48F3
U+4F55 U+4F3A
U+5475 U+545E
U+67EF U+67CC
U+6CB3 U+6CC0
U+2562B U+7960
U+7B34 U+7B25
U+8A36 U+8A5E
U+8BC3 U+8BCD
U+9233 U+9270
U+2AAE7 U+2261C
U+2DFA8 U+25136
U+42CD U+25FC6
U+2E2DB U+264BD
U+82DB U+26B61
U+86B5 U+27260
U+8894 U+27648
U+4D97 U+2A5EA
U+2EBD9 U+2CE7F
U+62B2 U+2D81F
U+3C52 U+2DB5F
U+9B7A U+2EAF4
U+30998 U+30999
U+2578D U+30A24

# Group: 司・同
U+53F8 U+540C
U+36B8 U+59DB
U+37C3 U+5CD2
U+43E4 U+80F4
U+48F3 U+916E
U+4F3A U+4F97
U+545E U+54C3
U+67CC U+6850
U+6CC0 U+6D1E
U+7960 U+2B008
U+7B25 U+7B52
U+8A5E U+8A77
U+8BCD U+2B363
U+9270 U+9285
U+98FC U+9907
U+22573 U+22582	≈
U+2261C U+606B
U+25136 U+772E
U+25FC6 U+7D67
U+26B61 U+833C
U+27260 U+2729A
U+27648 U+27665
U+2A5EA U+2A60D
U+2D81F U+630F
U+2EAF4 U+9BA6
U+30A24 U+79F1

# Group: 冋・同
U+518B U+540C
U+3EBE U+2AEDB
U+4339 U+2B121
U+5770 U+578C
U+6CC2 U+6D1E
U+70AF U+70D4
U+7D45 U+7D67
U+82D8 U+833C
U+8A57 U+8A77
U+8BC7 U+2B363
U+8FE5 U+8FF5
U+99C9 U+99E7
U+201F6 U+4F97
U+205B7 U+34CA
U+21D9D U+5CDD
U+221FA U+22209
U+23412 U+6850
U+24354 U+21038
U+2544E U+7850
U+27EB8 U+2B3B4
U+2897D U+9285
U+28D00 U+28D0F
U+296B1 U+9907
U+2A54D U+2A559
U+2AAEA U+606B
U+2B04B U+419A
U+2CCF6 U+299F2
U+2D473 U+59DB
U+2D6E1 U+38DA
U+2D7F3 U+6219
U+2D964 U+664D
U+2DFF7 U+25369
U+2E7F1 U+286AF

# Group: 冋・回
U+518B U+56DE
U+38A0 U+5EFB
U+3EBE U+3EC1
U+2420D U+2AE30
U+5770 U+212D9
U+6CC2 U+6D04
U+7D45 U+7D57
U+82D8 U+8334
U+26CD6 U+28598	≈
U+8A57 U+46DB
U+8BC7 U+2C8EC
U+8FE5 U+8FF4
U+23E54 U+2DC6B
U+99C9 U+298B1
U+201F6 U+4F6A
U+221FA U+303F8
U+23412 U+23469
U+2544E U+7858
U+27EB8 U+27EE2
U+2897D U+4927
U+296B1 U+2EA3A	≈
U+2AAEA U+605B
U+2D6E1 U+5F8A
U+2D7F3 U+2D361

# Group: 𭿷・矞
U+2DFF7 U+77DE
U+2DADC U+6A58

# Group: 橘・𣚹
U+6A58 U+236B9

# Group: 竞・竟
U+7ADE U+7ADF

# Group: 競・竸・𰩫
U+7AF6 U+7AF8 U+30A6B

# Group: 競・𣬙
U+7AF6 U+23B19

# Group: 歲・歳・𫞓
U+6B72 U+6B73 U+2B793

# Group: 冊・𠕁
U+518A U+20541

# Group: 吴・⿱口矢
U+4FE3 U+3468
U+8135 U+2B786
U+23440 U+2DAB5

# Group: 囙・回
U+56D9 U+56DE

# Group: 囘・回
U+56D8 U+56DE

# Group: 靑・青・𤯝・𤯞
U+9751 U+9752 U+24BDD U+24BDE

# Group: 𣫠・𪃟
U+23AE0 U+2A0DF

# Group: 杀・𰗑
U+6740 U+305D1
U+247A0 U+2478E
U+2A023 U+2A041
U+3149E U+301E2
U+22AEC U+304E8

# Group: 叄・參・㕘・叅
U+53C4 U+53C3 U+3558 U+53C5
U+2280A U+6158 U+22856
U+647B U+64A1
U+588B U+21450
U+906A U+285D8
U+24859 U+3E91 U+24845
U+6EF2 U+30742 U+3D55
U+5607 U+2D2C1
U+5D7E U+21F36
U+8518 U+26F12
U+69EE U+23688
U+2435C U+243DF
U+7299 U+246E4
U+24A35 U+24A68
U+47C3 U+27F8B
U+78E3 U+2557A
U+6BFF U+23BFA
U+7BF8 U+25CCB
U+2C6D3 U+26828
U+27441 U+2746B
U+2E712 U+28176
U+3F69 U+24CD1 U+24CD2
U+762E U+24E6E U+24E91
U+7E3F U+26152
U+91A6 U+288D4
U+30FD5 U+28CB1
U+29330 U+29351
U+4AE9 U+2955E
U+29780 U+297BC
U+9A42 U+29975 U+32302
U+9B16 U+29BD1
U+9C3A U+29EE6

# Group: 灾・⿱穴𠆢
U+21A0E U+21A19

# Group: 干・
U+884E U+275E4

# Group: 勿・匀
U+52FF U+5300
U+543B U+5441
U+573D U+5747
U+6612 U+6600
U+6C95 U+6C6E
U+401B U+76F7
U+7B0F U+7B09
U+29FB2 U+29FC3

# Group: 几・卂
U+20646 U+20AF2

# Group: 丂・亏・亐
U+4E02 U+4E8F U+4E90
U+6C45 U+6C61 U+6C5A
U+673D U+6747 U+233D3
U+53F7 U+20BB2
U+2BA50 U+20BB1
U+357A U+54A2

# Group: 䶹・屮・𡳾
U+4DB9 U+5C6E U+21CFE
U+8278 U+21D02

# Group: 𡴀・𡵄
U+21D00 U+21D44

# Group: 㞷・𡉚
U+37B7 U+2125A

# Group: ⿻凵龶・𡉚
U+23CEB U+23D6D

# Group: 𡉚・𭖒
U+2125A U+2D592
U+224F8 U+2250E
U+23D6D U+23DEA

# Group: 𧘒・𧘵
U+27612 U+27635

# Group: 劉・𭄘
U+5289 U+2D118
U+22910 U+2294D
U+700F U+24109
U+4267 U+25DE2

# Group: 𨫹・𤫍
U+28AF9 U+24ACD

# Group: 𨟉・𨟛
U+287C9 U+287DB

# Group: 㤁・忝
U+3901 U+5FDD
U+26054 U+42EC

# Group: ⺝・冃
U+80C4 U+5191

# Group: 胃・胄
U+80C3 U+80C4
U+7A29 U+4162
U+7DED U+26088
U+28A4B U+30F3E

# Group: 几・𠘧
U+51E0 U+20627

# Group: 㔾・己・已・巳
U+353E U+5DF1 U+5DF2 U+5DF3
U+572E U+2124F U+572F
U+8291 U+26B0A
U+2972E U+2976E

# Group: 本・𠥽
U+672C U+2097D
U+4F53 U+67BE
U+6CCD U+2DC09

# Group: 𡴝・𦱧
U+21D1D U+26C67

# Group: 𣉱・曓
U+23271 U+66D3

# Group: 𥩑・𥩎
U+25A51 U+25A4E

# Group: 人・入
U+4EBA U+5165
U+4EBE U+5166
U+4ECE U+204DC
U+55C7 U+20E6B

# Group: 人・𠆢
U+4EBA U+201A2

# Group: 𫠩・兹
U+2B829 U+5179

# Group: 卉・𠦃
U+5349 U+20983

# Group: 日・臼
U+65E5 U+81FC
U+573C U+31F2D
U+44A4 U+26B7B
U+22A8F U+39EE
U+6625 U+8202
U+2C4C9 U+411D
U+27872 U+468E
U+60F7 U+6183
U+2371A U+2379D
U+22C26 U+644F
U+693F U+6A01
U+8E33 U+8E56
U+5046 U+20334
U+35BA U+20F45
U+22763 U+22805
U+6E77 U+23EDB
U+7776 U+2528E
U+25814 U+2585F
U+877D U+2740D
U+4B9E U+2996B
U+9B0A U+29BB1
U+2A0B9 U+2A156
U+2A0E3 U+2A18A
U+2332D U+20357
U+3AF8 U+4456
U+9593 U+95B0

# Group: ⿱⿻千𠮡灬・熏
U+232B3 U+66DB

# Group: 𤑛・𤑕
U+2445B U+24455

# Group: 𭥫・𭥴
U+2D96B U+2D974

# Group: 夂・夊・夕・攵
U+5902 U+590A U+5915 U+6535
U+5904 U+5916
U+3DA4 U+7087
U+22059 U+2205F
U+5907 U+24C27
U+26936 U+81F4
U+290AB U+290AD

# Group: 郎・朗
U+90CE U+6717
U+9FFE U+365F
U+213C5 U+5871
U+6994 U+6A03
U+84C8 U+84E2
U+5577 U+20EF4
U+22028 U+2202C
U+319E7 U+23F3D
U+2434E U+2439C
U+746F U+24A21
U+260A7 U+2613A
U+28102 U+28149
U+22CB2 U+2ABA1
U+265CF U+2B18D
U+25C73 U+2C568
U+2771B U+2C868
U+5ECA U+30401
U+20307 U+313C3
U+2C048 U+3189E

# Group: 𧬰・𨬽・響・饗・𬳧
U+27B30 U+28B3D U+97FF U+9957 U+2CCE7

# Group: 虍・
U+458F U+20045
U+3A40 U+22D03
U+20F25 U+20ED4
U+8655 U+2065A
U+5287 U+207F5

# Group: ⿲木夕木・棥
U+22818 U+2285F
U+23835 U+6B0E
U+255A5 U+255AF
U+2C100 U+6A0A
U+2C872 U+466A
U+2C155 U+6B1D
U+2D3DD U+21440
U+2D493 U+21874
U+2DAEC U+71D3

# Group: 𭬑・𣝴
U+2DB11 U+23774

# Group: 𬅕・𣡱
U+2C155 U+23871

# Group: 𣠫・𣡨・𬅙
U+2382B U+23868 U+2C159

# Group: 𢠘・𢠖
U+22818 U+22816

# Group: 𰙄・𣞣・𰙈
U+30644 U+237A3 U+30648

# Group: 𪺂・𫻓
U+2AE82 U+2BED3

# Group: 𥃀・𥃐
U+250C0 U+250D0

# Group: 𥃀・𥃂
U+250C0 U+250C2

# Group: 𦠟・𦠠
U+2681F U+26820

# Group: ⿹口・⿱𠃬口
U+28BA9 U+28B9A

# Group: 殳・𠬛
U+6BB3 U+20B1B
U+6295 U+22AA9
U+8C5B U+27C31

# Group: 几・丌
U+51E0 U+4E0C
U+27FBE U+27FC4
U+808C U+23360
U+25F8A U+25F8E

# Group: 四・罒
U+56DB U+7F52
U+4F35 U+201FB

# Group: 木・𣎳
U+6728 U+233B3
U+6797 U+233D5
U+72C7 U+24742
U+679A U+22EFE
U+2462C U+24631

# Group: 𭀠・𭀣・𭀥
U+2D020 U+2D023 U+2D025

# Group: 九・丸・
U+624F U+6267
U+6C3F U+6C4D
U+67D3 U+23471
U+72B0 U+72B1
U+42B5 U+7D08
U+808D U+8092
U+8A05 U+8A19
U+3564 U+20BAC
U+223A9 U+223AB
U+6739 U+233D2
U+24D26 U+24D2F
U+827D U+8284
U+53F4 U+20BAB
U+9804 U+29456
U+472A U+27BAD
U+264CF U+43A0

# Group: 玉・玊
U+7389 U+738A

# Group: 𢛳・⿳士罒心
U+2DC96 U+2DC93

# Group: 㥁・𢛳
U+3941 U+226F3

# Group: 廰・𠫇・廳
U+5EF0 U+20AC7 U+5EF3

# Group: 聴・聼・聽
U+8074 U+807C U+807D

# Group: 微・徴
U+5FAE U+5FB4
U+31B19 U+24448

# Group: 微・徵
U+5FAE U+5FB5
U+3D5F U+7013
U+7653 U+7665
U+8587 U+85E2
U+265F8 U+26607
U+89B9 U+278A1
U+28DCB U+28DE3
U+252EA U+2AFC2
U+372B U+2D4A7
U+4969 U+2E8DA

# Group: 𣪊・殻
U+23A8A U+6BBB
U+6128 U+6164
U+879C U+2741C

# Group: 𢊁・廌
U+22281 U+5ECC
U+219B1 U+219B5
U+219B3 U+219B2

# Group: 巛・𡿧・𡿦
U+5DDB U+21FE7 U+21FE6

# Group: 凰・鳯・鳳
U+51F0 U+9CEF U+9CF3

# Group: 𢦍・戋・㦮
U+2298D U+620B U+39AE
U+25058 U+76CF U+2506B

# Group: 𢦍・𢦑
U+2298D U+22991

# Group: 㷀・煢
U+3DC0 U+7162

# Group: 贠・员
U+8D20 U+5458

# Group: 為・𬊓
U+70BA U+2C293

# Group: 為・𫞟
U+70BA U+2B79F

# Group: 爲・𤔡
U+7232 U+24521

# Group: 丏・丐・𬺶
U+4E0F U+4E10 U+2CEB6

# Group: 疐・㚄・𤴡・𨂬
U+7590 U+3684 U+24D21 U+280AC
U+4879 U+283E1

# Group: 韋・𮧮
U+97CB U+2E9EE

# Group: 𥜘・𱹨
U+25718 U+31E68

# Group: 亷・廉・𠔳
U+4EB7 U+5EC9 U+20533
U+2214F U+22156 U+22173
U+7C3E U+2C584
U+5286 U+2081F
U+23730 U+237DA
U+26186 U+2B114
U+8B67 U+2B353

# Group: 𥜽・𥜾・禼
U+2573D U+2573E U+79BC

# Group: 卩・㔾
U+20B5E U+20B5A
U+26C61 U+26C62

# Group: 卩・阝
U+5369 U+961D
U+3541 U+90C4
U+537F U+2870A U+2872E

# Group: 𡝤・𡝽
U+21764 U+2177D

# Group: 婁・𡞔
U+5A41 U+21794

# Group: 𡞔・𣫻
U+21794 U+23AFB

# Group: 嬴・𡢣
U+5B34 U+218A3

# Group: 吂・⿱亡罒
U+5B34 U+2BC93
U+701B U+2411E
U+7FB8 U+2E2B5

# Group: 瀛・𤅀・灜
U+701B U+24140 U+705C

# Group: 𫲓・𮊵・𱻕
U+2BC93 U+2E2B5 U+31ED5

# Group: 𬉩・𤅗・𤅘
U+2C269 U+24157 U+24158

# Group: 𱪅…
U+31A85 U+31A8A U+31A8B U+31A99 U+31A9C U+31AA0

# Group: 元・无
U+5143 U+65E0
U+56ED U+211B6
U+82AB U+829C

# Group: 录・⿱氺・⿱⿴亅・彔
U+902F U+284FB
U+7B93 U+25B7C

# Group: 爫・𫜵・𱼀
U+722B U+2B735 U+31F00

# Group: 専・尃・專・⿱叀寸
U+5C02 U+5C03 U+5C08
U+2B74A U+5085 U+50B3
U+319C8 U+6EA5 U+6F19
U+365B U+587C
U+25835 U+25875
U+84AA U+84F4
U+2C9C5 U+28114
U+22FAD U+2D908
U+535A U+2B9E4
U+2836D U+8F49

# Group: 㨗・𭡸
U+3A17 U+2D878

# Group: 罒・𠱠
U+7F52 U+20C60
U+841D U+26EF8
U+290E9 U+5B41

# Group: 両・两
U+4E21 U+4E24
U+2285B U+61D1
U+6E80 U+6EE1
U+2521E U+7792
U+20213 U+4FE9

# Group: 𭱎・𭱩
U+2DC4E U+2DC69

# Group: 豕・豸
U+8C55 U+8C78
U+8C5B U+4758
U+27C38 U+475B
U+8C72 U+4760
U+27C7C U+4761
U+8C5E U+8C7F
U+27C39 U+8C80
U+27C47 U+8C84
U+27C42 U+8C86
U+8C64 U+8C87
U+22846 U+61C7
U+2A672 U+31326
U+27C6C U+8C90
U+8C6D U+8C91
U+474E U+8C92
U+8C6F U+8C95
U+474F U+8C97
U+4754 U+8C9B
U+70FC U+24252
U+24666 U+2466A
U+247B1 U+2479D
U+26387 U+2638B
U+45B6 U+272C8
U+8C5D U+27CA7
U+8C5C U+27CA8
U+27C46 U+27CBE
U+27C41 U+27CC6
U+2C93F U+27CCE
U+8C68 U+27CD0
U+27C53 U+27CD1
U+27C56 U+27CD4
U+27C59 U+27CDB
U+27C5F U+27CE2
U+2E663 U+27CEC
U+8C6C U+27CEF
U+85F8 U+2E4B1
U+474D U+27CF0
U+27C79 U+27CF5
U+27C7F U+27D04
U+8C76 U+27D0D
U+27C84 U+27D11
U+8C77 U+27D12
U+27C8B U+27D18
U+2A065 U+2A070
U+5544 U+2A84A
U+30DAC U+2B38C
U+2B980 U+2D0E4
U+4751 U+2E66C

# Group: 豕・彖
U+8C55 U+5F56
U+272E0 U+45CD
U+23721 U+2DB27
U+2E946 U+49D8
U+213C7 U+58AC
U+2B660 U+4C72
U+2B980 U+5276
U+5544 U+5599
U+3B6C U+693D
U+235C3 U+2D3F7
U+23D60 U+6E6A
U+247B1 U+732D
U+24968 U+7422 U+7451
U+4003 U+76E0
U+2566E U+7992
U+2B07E U+7BC6
U+8C5A U+815E
U+45B6 U+875D
U+87F8 U+8821
U+26AC6 U+26AC8
U+311CA U+29F75
U+2A065 U+9DA8
U+21478 U+214B0
U+214BF U+214EC
U+2174D U+217C7
U+5BB6 U+21A40
U+70FC U+242BA
U+9010 U+28535
U+295DB U+29610
U+29AD5 U+29ADE

# Group: 犭・豕
U+72AD U+8C55
U+24738 U+4748
U+247C3 U+474A
U+7314 U+474B
U+247E4 U+474D
U+732F U+474E
U+3E8F U+474F
U+2486A U+4750
U+735E U+4751
U+7375 U+4753
U+737E U+4754
U+248D2 U+4755
U+3E60 U+8C58
U+24748 U+8C5B
U+24735 U+8C5C
U+24731 U+8C5D
U+72D7 U+8C5E
U+24764 U+8C5F
U+72D9 U+8C60
U+72E0 U+8C64
U+31B7A U+8C65
U+247A8 U+8C67
U+72F6 U+8C68
U+247B1 U+8C69
U+732A U+8C6C
U+6A65 U+6AEB
U+6F74 U+7026
U+854F U+85F8
U+2AC42 U+23301
U+2C051 U+23302
U+2C11E U+23815
