
# File: Shinjitai-Kyūjitai.txt
# Version: 1.74
# License: MIT
# Copyright: (c) 2023 Michel Mariani

# Group: Compatibility
U+6829 U+698C	*
U+2EA84 U+9A1B	*
U+2A739 U+202C9	*
U+42DA U+260B9	*
U+26B73 U+26D27	*
U+7FCE U+29673	*
U+7FF0 U+29676	*
U+26474 U+29678	*
U+7FFC U+2967A	*
U+2649C U+2967C	*
U+7FFE U+2967D	*
U+9B99 U+29E49	*
U+6327 U+2AB95	*
U+8A61 U+2B344	*
U+86E1 U+2C81E	*
U+26407 U+31897	*
U+2B170 U+322D2	*

# Group: 毎・每
U+6BCE U+6BCF

# Group: 余・餘
U+4F59 U+9918

# Group: 様・樣
U+69D8 U+6A23

# Group: 鼡・巤
U+9F21 U+5DE4	*
U+731F U+7375
U+874B U+881F	*
U+2B787 U+81D8	*
U+2EACB U+9B23	*

# Group: 即・卽
U+5373 U+537D

# Group: 郎・郞
U+90CE U+90DE

# Group: 显・㬎
U+9855 U+986F
U+6E7F U+6FD5

# Group: 厳・嚴
U+53B3 U+56B4
U+5DCC U+5DD6	*
U+2044A U+513C	*

# Group: 弁・辨
U+5F01 U+8FA8
U+25FCB U+31E8E	*

# Group: 弁・瓣
U+5F01 U+74E3

# Group: 弁・辯
U+5F01 U+8FAF
U+7B32 U+4278	*

# Group: 従・從
U+5F93 U+5F9E
U+7E26 U+7E31
U+27C77 U+8C75	*
U+2B78B U+6A05	*
U+2D781 U+616B	*
U+2E2F9 U+8073	*
U+2E700 U+8E64	*
U+3104B U+29028	*

# Group: 丬・爿
U+72B6 U+72C0
U+58EE U+58EF
U+8358 U+838A
U+88C5 U+88DD
U+5BDD U+5BE2

# Group: 大・犬
U+623B U+623E
U+6D99 U+6DDA

# Group: 昷・𥁕
U+6E29 U+6EAB

# Group: 盗・盜
U+76D7 U+76DC

# Group: 帰・歸
U+5E30 U+6B78

# Group: ⿱日匂・曷
U+63B2 U+63ED
U+6E07 U+6E34

# Group: 旧・臼
U+5150 U+5152
U+9665 U+9677
U+7A32 U+7A3B

# Group: 蔵・藏
U+8535 U+85CF
U+81D3 U+81DF
U+24098 U+3D93	*
U+246FB U+24710	*

# Group: ⿱十𭾱・褱
U+58CA U+58DE
U+61D0 U+61F7

# Group: 卆・卒
U+5346 U+5352	*
U+7C8B U+7CB9
U+9154 U+9189
U+7815 U+788E
U+3CC3 U+6DEC	*
U+4F1C U+5005	*
U+5FF0 U+60B4	*
U+67A0 U+690A	*
U+75A9 U+7601	*
U+7D23 U+7DB7	*
U+7FC6 U+7FE0	*
U+20BE5 U+5550	*
U+2127B U+57E3	*
U+221E5 U+2223C	*
U+22A84 U+637D	*
U+23162 U+666C	*
U+2474A U+731D	*
