
# File: Layout.txt
# Date: 2023-06-05
# License: MIT
# Copyright: (c) 2023 Michel Mariani

# Group: ⿲①②①・⿱②⿰①①
U+5B32 U+218E1
U+21748 U+21749
U+246D5 U+2833D

# Group: ⿲①②①・⿳①②①
U+21DFB U+21DFC

# Group: ⿲①②③・⿰②⿱③①
U+28C2E U+28C2F

# Group: ⿰①②・⿰②①
U+2800E U+41CD	≈
U+8DD6 U+254AD	≈
U+28037 U+2E1DF	≈
U+7A2E U+2582D
U+2E54A U+30CE2
U+7FED U+26464
U+2645A U+2E2CA
U+20AA7 U+3060B
U+751B U+751C
U+24BBE U+24BBF
U+26695 U+308A8
U+298AF U+298C8
U+298C7 U+298D0
U+29891 U+298AD
U+5CD8 U+21DC6
U+9630 U+2868D
U+28E40 U+28696
U+9696 U+9114
U+969D U+9125
U+2CBBB U+90AC
U+963B U+48B8
U+3224E U+2E7F7
U+2CBC6 U+2CA89
U+967D U+2CA8C
U+31031 U+48E0
U+28F10 U+48DF
U+28E5D U+286D7
U+4CA6 U+4CAA
U+29FC1 U+29FDB
U+253EB U+253EC
U+5A5A U+2176A
U+4CE6 U+2A0D7
U+7FE7 U+2E2CC
U+29921 U+31128
U+9D02 U+9D03
U+29FF6 U+2CDC5
U+2640B U+2640D
U+2A5AB U+2A5AC
U+2A0D9 U+2A0F2
U+2A1A5 U+2B6D5
U+219B1 U+219B3
U+219B2 U+219B5
U+29FDD U+2A00F
U+23054 U+2AA65
U+22027 U+31718
U+24CF0 U+2B96F
U+4CD8 U+9D5D
U+54BE U+264B5
U+6716 U+6717
U+9580 U+28CC8
U+525B U+31371
U+9631 U+28677
U+28E26 U+90A2
U+96A3 U+9130
U+28E57 U+90F1
U+28F0D U+28772
U+2A13B U+2A156
U+21CF5 U+21CF6
U+2C7BA U+2C7B0
U+2C7DB U+2C7D7
U+8665 U+8666
U+49E4 U+2878A
U+49E8 U+9134
U+8A05 U+27960
U+272C8 U+27CC3
U+21A38 U+2BCD8
U+250DA U+250DB
U+8847 U+275B4
U+275B0 U+32017
U+9643 U+90B4
U+964B U+32190
U+28F72 U+287EF
U+2007B U+2B84E
U+24F38 U+31C79
U+28E20 U+28678
U+2B8D9 U+2B8DA
U+268A1 U+268A2
U+9D61 U+2CDDC
U+271ED U+8663
U+27E3E U+27E41
U+31769 U+31768
U+28E3C U+90B2
U+2A077 U+2A0A8
U+316A5 U+2BD3C
U+21BA5 U+21BA4
U+9666 U+2B737
U+96AF U+287AA
U+4392 U+2E2C7
U+49D6 U+2B460
U+3093F U+25084
U+245B9 U+25A5C
U+79CB U+79CC
U+7BCD U+25C02
U+8429 U+26D52
U+557E U+20DD8
U+6E6B U+23E4C
U+63EB U+22C40
U+6101 U+22772
U+3D5E U+23FDC
U+7503 U+24B70
U+42FA U+2608F
U+2218A U+303E3
U+548C U+548A
U+962B U+28680
U+28E39 U+90B3
U+4CB9 U+2A007
U+269EB U+269EC
U+49D2 U+90F2
U+31C3A U+31C3C
U+24CC7 U+24CC6
U+9E13 U+32369
U+2342C U+24C43
U+29339 U+2933A
U+283BF U+2C9FE
U+291A2 U+29446
U+2B02A U+24C5B
U+28EC9 U+28739
U+9D15 U+2EB32
U+7525 U+3F52
U+2DA90 U+2E5FC
U+3124A U+3124B
U+9CF1 U+29F9D
U+4CF6 U+9DC4
U+31255 U+2CE02
U+9D1A U+2A009
U+4CC5 U+29FE6
U+3127E U+3127F
U+9D55 U+9D54
U+31284 U+31288
U+9D83 U+9D82
U+2A1C6 U+9E00
U+4CB1 U+9D0B
U+9D7B U+4CE1
U+31285 U+3237E
U+2A18F U+4D00
U+32388 U+9E72
U+4D0C U+9E0F
U+8C3F U+8C40
U+2BC3E U+91F9
U+2E12B U+2DEB4
U+2C7E5 U+2B29A
U+27184 U+31FCC
U+2A09E U+2A079
U+2967B U+322D2
U+2BA2F U+2BA30
U+21890 U+2A888
U+22596 U+22595
U+2B3FB U+28366
U+21BA0 U+2BD47
U+321C1 U+28927
U+52F0 U+228E2
U+52A0 U+53FB
U+24CC4 U+2AF5D
U+24CF8 U+24CF7
U+23C33 U+23C34
U+2B172 U+2C585
U+2AC6F U+2C099
U+2B16E U+31EE2
U+966C U+90F0
U+3572 U+2AC73
U+28EA8 U+9102
U+2BB59 U+5410
U+552B U+91E6
U+243B6 U+243DC
U+2B9C3 U+20289
U+96AE U+2CA9C
U+255CA U+2EBC2
U+2A635 U+323A3
U+9F62 U+2CE74
U+9655 U+90CF
U+965C U+90DF
U+2D4DA U+30330
U+2B2C6 U+9275
U+2D0C0 U+2D794
U+65FA U+31BB3
U+28EF9 U+28755
U+28F48 U+287A8
U+28EF3 U+9122
U+5D2F U+28949
U+2E961 U+2877D
U+2C04F U+232C7
U+878E U+878D
U+24B1B U+24B1C
U+9648 U+30EE8
U+9673 U+2E7FD
U+9668 U+90E7
U+9695 U+9116
U+5B6D U+27D2F
U+21923 U+21928
U+2CBE8 U+321A4
U+28E54 U+286C9
U+3092B U+3092C
U+25032 U+76BE
U+2E954 U+9111
U+233F9 U+7091
U+675C U+2127F
U+31967 U+23C0A
U+2A233 U+9E1D
U+26A2C U+26A24
U+8109 U+2AD75
U+548F U+20C26
U+2A1CD U+2A1B9
U+26639 U+5C84
U+45A8 U+2AFDB
U+2E952 U+9106
U+27077 U+27079
U+9663 U+286E9
U+21DD6 U+8ED5
U+30870 U+30E76
U+2496D U+8ED6
U+7868 U+282D3
U+2CBCE U+48D2
U+2B0AE U+2B355
U+5501 U+27963
U+2E734 U+3211D
U+231A3 U+868E
U+28F14 U+9129
U+2141A U+29D5A
U+322C8 U+2B5BE
U+2014D U+20152
U+235A2 U+2359B
U+24FD6 U+24FD7
U+29218 U+2B580
U+2C449 U+771C
U+36DD U+27D31
U+73FC U+27D3D
U+31F09 U+27D42
U+30138 U+30139
U+20173 U+20EAF
U+2B045 U+25886
U+28E9F U+28713
U+27DFA U+210CB
U+2123A U+2BB55
U+6987 U+2355F
U+28EC8 U+48D4
U+298D1 U+2EA82
U+2EA7F U+879E
U+99B9 U+3059B
U+99BF U+29889
U+9A2E U+29956
U+49DE U+48D5
U+9A97 U+3115D
U+9A19 U+9A17
U+2DF5F U+2C23B
U+2981D U+2981E
U+29821 U+29822
U+2EA61 U+4B6B
U+2981C U+4B6C
U+232D1 U+318AF
U+31C12 U+7514
U+964F U+90C1
U+2B6B8 U+4CD1
U+286BC U+286BA
U+28F0B U+28779
U+28E15 U+9093
U+2A184 U+9DE6
U+2D010 U+30C91
U+2A129 U+9DBD
U+30927 U+2DF6A
U+2A212 U+9E15
U+8F64 U+283E7
U+316C0 U+2334A
U+24FF8 U+76B5
U+264A6 U+264A9
U+21914 U+2A9B2
U+20AC5 U+20AC6
U+2C7D6 U+27108
U+77E5 U+20C48
U+76F8 U+25122
U+8A71 U+2C707
U+59FB U+2172D
U+21953 U+3740
U+4D0B U+4D09
U+2B705 U+9E6E
U+2E965 U+2CA97
