
# File: Addition.txt
# Version: 1.14
# License: MIT
# Copyright: (c) 2023 Michel Mariani

U+28680 U+90B3
U+9208 U+925F
U+4BF1 U+9AEC
U+29D63 U+9B7E
U+200BE U+200C2
U+3068F U+23B3E
U+3CC5 U+23CCE
U+708B U+241E8
U+24622 U+24639
U+2DF9F U+2514A
U+25434 U+2545C
U+287F7 U+28819
U+28CEB U+28D08
U+4B2A U+296BC
U+962B U+28E39
U+56E8 U+2A8A9
U+30AFD U+2B11E
U+949A U+30F67
U+2B6DC U+31256

# Group: 一 (Below) | 弜・⿱弜一
U+20C73 U+20D00

# Group: 一 (Below) | 力・𫦤
U+529B U+2B9A4

# Group: 一 (Below) | 刃・丒
U+5203 U+4E12

# Group: 一 (Below) | 大・𡗓
U+5927 U+215D3
U+5936 U+2160B
U+6C4F U+23C94
U+21603 U+2504B
U+20BC8 U+2D1C3
U+22A82 U+2D811

# Group: 一 (Below) | 夶・𠀤
U+5936 U+20024

# Group: 一 (Below) | 書・晝
U+66F8 U+665D

# Group: 一 (Below) | 𤱪・畫
U+24C6A U+756B

# Group: 一 (Below) | 氶・丞
U+6C36 U+4E1E
U+20C3F U+20C7A
U+22037 U+5DF9
U+22AD2 U+62EF
U+241CF U+70DD
U+2545D U+254A1
U+26B55 U+44B1
U+2AC5D U+8100
U+2B3F5 U+282EC
U+28331 U+28357

# Group: 一 (Below) | 屯・𠀏
U+5C6F U+2000F

# Group: 一 (Below) | 引・𠀓
U+5F15 U+20013

# Group: 一 (Below) | 中・𠀐
U+4E2D U+20010
U+2009D U+2E4F1

# Group: 一 (Below) | 𠂤・𫠨
U+200A4 U+2B828
U+86D7 U+272F0
U+27482 U+27499

# Group: 一 (Below) | 勿・⿱勿一
U+543B U+20C4E

# Group: 一 (Below) | 匆・⿱匆一
U+20C2F U+20C71

# Group: 一 (Below) | 宙・𡧹
U+5B99 U+219F9

# Group: 丶 (Above) | 下・卞
U+4E0B U+535E
U+225C4 U+5FED
U+22A79 U+6283
U+2AD69 U+6C74
U+25AEB U+7B07
U+8290 U+82C4
U+310E3 U+98F0
U+5413 U+20BF4
U+2DA59 U+233E3
U+9587 U+28CF2
U+2D584 U+2AA28
U+31F02 U+2B198
U+20BB4 U+2CF45

# Group: 丶 (Above) | 万・方
U+4E07 U+65B9
U+6764 U+678B
U+6803 U+2B78A
U+867F U+30CB1
U+8FC8 U+488D
U+211AD U+211C5
U+219CA U+3751
U+23D51 U+23DEB
U+25E2F U+2E1C9
U+26477 U+2648A
U+2A707 U+2311D
U+2C1D5 U+6C78
U+2CB99 U+28E02
U+2D70C U+3903
U+2D99F U+3B05
U+2EAC9 U+29B92
U+304BD U+39CD
U+30FD8 U+958D
U+311A4 U+9B74
U+31480 U+356B

# Group: 丶 (Above) | 冝・宜
U+519D U+5B9C
U+231B9 U+2320D
U+27A0F U+8ABC
U+2B7B5 U+2C4C7
U+2E50E U+30CC8
U+315B4 U+2A8EF

# Group: 丶 (Above) | 𠀔・亥
U+20014 U+4EA5

# Group: 丶・一 (Above) | ・
U+249E8 U+746F
U+90F7 U+9109
U+215A5 U+2A93C
U+2739F U+8782
U+2870A U+2872E
U+2B089 U+25C73
U+29139 U+2915C

# Group: 丶・一 (Above) | 艮・良
U+826E U+826F

# Group: 丶・一 (Above) | 氶・⿱丶氶
U+22AD2 U+22B20

# Group: 丶 (Below) | 大・太
U+5927 U+592A
U+5FD5 U+5FF2
U+6C4F U+6C70
U+23D18 U+3CF2
U+8FBE U+8FCF
U+3432 U+3440
U+38D5 U+38D6
